----------------------------------------------------
User Id:1
Recommened Item Id :879, Strength of the preference : 5.0
Recommened Item Id :312, Strength of the preference : 5.0
Recommened Item Id :990, Strength of the preference : 5.0
Recommened Item Id :902, Strength of the preference : 5.0
Recommened Item Id :984, Strength of the preference : 5.0
----------------------------------------------------
User Id:2
Recommened Item Id :427, Strength of the preference : 5.0
Recommened Item Id :173, Strength of the preference : 5.0
Recommened Item Id :183, Strength of the preference : 5.0
Recommened Item Id :8, Strength of the preference : 5.0
Recommened Item Id :133, Strength of the preference : 5.0
----------------------------------------------------
User Id:3
Recommened Item Id :482, Strength of the preference : 5.0
Recommened Item Id :192, Strength of the preference : 5.0
Recommened Item Id :423, Strength of the preference : 5.0
Recommened Item Id :199, Strength of the preference : 5.0
Recommened Item Id :50, Strength of the preference : 4.888889
----------------------------------------------------
User Id:4
Recommened Item Id :182, Strength of the preference : 5.0
Recommened Item Id :144, Strength of the preference : 5.0
Recommened Item Id :746, Strength of the preference : 5.0
Recommened Item Id :98, Strength of the preference : 5.0
Recommened Item Id :56, Strength of the preference : 5.0
----------------------------------------------------
User Id:5
Recommened Item Id :475, Strength of the preference : 5.0
Recommened Item Id :923, Strength of the preference : 5.0
Recommened Item Id :361, Strength of the preference : 5.0
Recommened Item Id :324, Strength of the preference : 5.0
Recommened Item Id :329, Strength of the preference : 5.0
----------------------------------------------------
User Id:6
Recommened Item Id :878, Strength of the preference : 4.464102
Recommened Item Id :300, Strength of the preference : 4.2047677
Recommened Item Id :322, Strength of the preference : 4.0203676
Recommened Item Id :313, Strength of the preference : 4.008741
Recommened Item Id :689, Strength of the preference : 4.0
----------------------------------------------------
User Id:7
Recommened Item Id :261, Strength of the preference : 5.0
Recommened Item Id :116, Strength of the preference : 5.0
Recommened Item Id :316, Strength of the preference : 4.6948423
Recommened Item Id :313, Strength of the preference : 4.599767
Recommened Item Id :339, Strength of the preference : 4.516051
----------------------------------------------------
User Id:8
Recommened Item Id :1194, Strength of the preference : 5.0
Recommened Item Id :462, Strength of the preference : 5.0
Recommened Item Id :242, Strength of the preference : 4.6666665
Recommened Item Id :245, Strength of the preference : 4.6666665
Recommened Item Id :866, Strength of the preference : 4.5
----------------------------------------------------
User Id:9
Recommened Item Id :313, Strength of the preference : 5.0
Recommened Item Id :443, Strength of the preference : 5.0
Recommened Item Id :209, Strength of the preference : 5.0
Recommened Item Id :154, Strength of the preference : 5.0
Recommened Item Id :179, Strength of the preference : 4.6666665
----------------------------------------------------
User Id:10
Recommened Item Id :25, Strength of the preference : 5.0
Recommened Item Id :682, Strength of the preference : 4.514162
Recommened Item Id :354, Strength of the preference : 4.5
Recommened Item Id :15, Strength of the preference : 4.5
Recommened Item Id :343, Strength of the preference : 4.5
----------------------------------------------------
User Id:11
Recommened Item Id :272, Strength of the preference : 5.0
Recommened Item Id :124, Strength of the preference : 5.0
Recommened Item Id :882, Strength of the preference : 4.525136
Recommened Item Id :127, Strength of the preference : 4.5073547
Recommened Item Id :304, Strength of the preference : 4.504434
----------------------------------------------------
User Id:12
Recommened Item Id :272, Strength of the preference : 4.6666665
Recommened Item Id :302, Strength of the preference : 4.6666665
Recommened Item Id :512, Strength of the preference : 4.5
Recommened Item Id :515, Strength of the preference : 4.5
Recommened Item Id :408, Strength of the preference : 4.5
----------------------------------------------------
User Id:13
Recommened Item Id :19, Strength of the preference : 4.698939
Recommened Item Id :259, Strength of the preference : 3.4951923
Recommened Item Id :304, Strength of the preference : 3.2780883
Recommened Item Id :245, Strength of the preference : 3.24212
Recommened Item Id :325, Strength of the preference : 2.359658
----------------------------------------------------
User Id:14
Recommened Item Id :359, Strength of the preference : 5.0
Recommened Item Id :315, Strength of the preference : 5.0
Recommened Item Id :682, Strength of the preference : 4.6666665
Recommened Item Id :307, Strength of the preference : 4.66225
Recommened Item Id :990, Strength of the preference : 4.5096188
----------------------------------------------------
User Id:15
Recommened Item Id :172, Strength of the preference : 5.0
Recommened Item Id :114, Strength of the preference : 5.0
Recommened Item Id :316, Strength of the preference : 4.528809
Recommened Item Id :213, Strength of the preference : 4.525063
Recommened Item Id :136, Strength of the preference : 4.5
----------------------------------------------------
User Id:16
Recommened Item Id :212, Strength of the preference : 5.0
Recommened Item Id :707, Strength of the preference : 5.0
Recommened Item Id :170, Strength of the preference : 5.0
Recommened Item Id :86, Strength of the preference : 5.0
Recommened Item Id :902, Strength of the preference : 5.0
----------------------------------------------------
User Id:17
Recommened Item Id :257, Strength of the preference : 5.0
Recommened Item Id :750, Strength of the preference : 5.0
Recommened Item Id :200, Strength of the preference : 5.0
Recommened Item Id :23, Strength of the preference : 5.0
Recommened Item Id :641, Strength of the preference : 5.0
----------------------------------------------------
User Id:18
Recommened Item Id :878, Strength of the preference : 5.0
Recommened Item Id :261, Strength of the preference : 5.0
Recommened Item Id :405, Strength of the preference : 4.5
Recommened Item Id :315, Strength of the preference : 4.3333335
Recommened Item Id :303, Strength of the preference : 4.2
----------------------------------------------------
User Id:19
Recommened Item Id :191, Strength of the preference : 5.0
Recommened Item Id :137, Strength of the preference : 5.0
Recommened Item Id :132, Strength of the preference : 5.0
Recommened Item Id :124, Strength of the preference : 5.0
Recommened Item Id :14, Strength of the preference : 5.0
----------------------------------------------------
User Id:20
Recommened Item Id :315, Strength of the preference : 5.0
Recommened Item Id :268, Strength of the preference : 5.0
Recommened Item Id :313, Strength of the preference : 5.0
Recommened Item Id :690, Strength of the preference : 5.0
Recommened Item Id :258, Strength of the preference : 4.6666665
----------------------------------------------------
User Id:21
Recommened Item Id :357, Strength of the preference : 5.0
Recommened Item Id :175, Strength of the preference : 5.0
Recommened Item Id :194, Strength of the preference : 5.0
Recommened Item Id :482, Strength of the preference : 5.0
Recommened Item Id :428, Strength of the preference : 4.5147185
----------------------------------------------------
User Id:22
Recommened Item Id :272, Strength of the preference : 5.0
Recommened Item Id :268, Strength of the preference : 4.5
Recommened Item Id :262, Strength of the preference : 4.5
Recommened Item Id :316, Strength of the preference : 4.5
Recommened Item Id :345, Strength of the preference : 4.3333335
----------------------------------------------------
User Id:23
Recommened Item Id :272, Strength of the preference : 5.0
Recommened Item Id :887, Strength of the preference : 4.5
Recommened Item Id :332, Strength of the preference : 4.3333335
Recommened Item Id :333, Strength of the preference : 4.3333335
Recommened Item Id :292, Strength of the preference : 4.3333335
----------------------------------------------------
User Id:24
Recommened Item Id :354, Strength of the preference : 5.0
Recommened Item Id :904, Strength of the preference : 5.0
Recommened Item Id :198, Strength of the preference : 5.0
Recommened Item Id :14, Strength of the preference : 4.5
Recommened Item Id :304, Strength of the preference : 4.5
----------------------------------------------------
User Id:25
Recommened Item Id :354, Strength of the preference : 4.5
Recommened Item Id :315, Strength of the preference : 4.5
Recommened Item Id :324, Strength of the preference : 4.5
Recommened Item Id :270, Strength of the preference : 4.3333335
Recommened Item Id :302, Strength of the preference : 4.25
----------------------------------------------------
User Id:26
Recommened Item Id :528, Strength of the preference : 5.0
Recommened Item Id :474, Strength of the preference : 5.0
Recommened Item Id :205, Strength of the preference : 5.0
Recommened Item Id :299, Strength of the preference : 5.0
Recommened Item Id :12, Strength of the preference : 5.0
